zone_id,zone_name,month,xch4_wetland,xch4_nonwetland,delta_ch4
7,Forest-steppe,5,1864.8287013774147,1867.5394376786046,-2.710736301189854
7,Forest-steppe,6,1863.924060695816,1866.909745657138,-2.985684961322022
7,Forest-steppe,7,1867.160816559415,1867.1381338759852,0.022682683429820827
7,Forest-steppe,8,1874.403784050358,1875.8609446656253,-1.4571606152674121
7,Forest-steppe,9,1878.9425249254155,1881.189721626301,-2.2471967008855245
7,Forest-steppe,10,1881.404716400798,1882.738229567312,-1.333513166513967
1,Tundra,5,1848.9862245819957,1849.0189503653103,-0.03272578331461773
1,Tundra,6,1846.6063555469177,1850.0131341066801,-3.406778559762415
1,Tundra,7,1858.4966007709602,1858.8938042690672,-0.39720349810704647
1,Tundra,8,1873.8867480836552,1873.2927526068934,0.5939954767618474
1,Tundra,9,1874.4684449201013,1874.600557504921,-0.1321125848196516
1,Tundra,10,1902.8629705063242,1905.764837329753,-2.9018668234286906
2,Forest-tundra,5,1842.9900105709078,1839.9082587123958,3.081751858512007
2,Forest-tundra,6,1843.3438051399285,1839.834623198119,3.509181941809402
2,Forest-tundra,7,1852.7401173713192,1848.061389141789,4.678728229530179
2,Forest-tundra,8,1866.8695326649479,1862.1670779863825,4.702454678565346
2,Forest-tundra,9,1872.366354005692,1869.652877398723,2.7134766069691523
2,Forest-tundra,10,1875.3037824560424,1881.6211492790721,-6.317366823029715
3,Northern taiga,5,1842.707653464973,1834.047520617623,8.660132847350042
3,Northern taiga,6,1844.6567084454834,1839.3482175857316,5.308490859751828
3,Northern taiga,7,1853.3813171748955,1848.0224969962599,5.358820178635597
3,Northern taiga,8,1866.3985566725698,1858.0339044386587,8.364652233911102
3,Northern taiga,9,1872.9321041881826,1863.8333573455998,9.098746842582841
3,Northern taiga,10,1861.3839122596899,1851.226809792071,10.15710246761887
4,Middle taiga,5,1842.6980836192588,1837.724508846238,4.9735747730208
4,Middle taiga,6,1851.3828674341983,1840.9184260332268,10.46444140097151
4,Middle taiga,7,1861.4156160923646,1850.6555201785798,10.76009591378488
4,Middle taiga,8,1867.2277603289217,1852.9972145342294,14.230545794692262
4,Middle taiga,9,1873.0271393804856,1860.037032741518,12.990106638967518
4,Middle taiga,10,1869.6484183571922,1856.7869408079293,12.861477549262872
5,Southern taiga,5,1852.561361169759,1842.890062484968,9.671298684791054
5,Southern taiga,6,1853.5741904657916,1840.2936490419522,13.280541423839395
5,Southern taiga,7,1861.363914824199,1846.489573315757,14.87434150844183
5,Southern taiga,8,1864.8288561904985,1848.7154215905418,16.11343459995669
5,Southern taiga,9,1869.8928451494046,1854.7895992454794,15.103245903925199
5,Southern taiga,10,1871.8858501925176,1864.508125848571,7.377724343946738
6,Subtaiga,5,1857.6322433536452,1853.5548739948624,4.077369358782789
6,Subtaiga,6,1859.4895306711605,1848.365749655975,11.123781015185614
6,Subtaiga,7,1863.681244089576,1852.5737867850726,11.107457304503441
6,Subtaiga,8,1866.1919946220655,1857.977345963672,8.214648658393571
6,Subtaiga,9,1870.5790451755595,1863.6875990444992,6.89144613106032
6,Subtaiga,10,1876.7704052307897,1868.8954770579849,7.874928172804857
8,Steppe,5,1866.1511824126646,1876.1861693123979,-10.034986899733212
8,Steppe,6,1871.2018643999902,1878.1409204910688,-6.939056091078555
8,Steppe,7,1876.675230805519,1881.6115135411987,-4.936282735679697
8,Steppe,8,1888.462602786712,1888.5303904218463,-0.06778763513420927
8,Steppe,9,1890.7400174712213,1891.378884034238,-0.6388665630165633
8,Steppe,10,1890.5684114597072,1892.1415803123089,-1.5731688526016114
